ip.proto,ipv6.nxt,frame.number,frame.time_relative,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.seq,mqtt.topic,mqtt.msgtype,mqtt.clientid,mqtt.disconnect.reason_code
"6",,"37","0.116463000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"46513",,,,
"6",,"38","0.116493000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"47881",,,,
"6",,"39","0.118962000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"49249",,,,
"6",,"40","0.119000000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"50617",,,,
"6",,"41","0.121412000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"51985",,,,
"6",,"42","0.121440000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"53353",,,,
"6",,"43","0.121449000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"54721",,,,
"6",,"44","0.121457000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"56089",,,,
"6",,"45","0.123716000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"57457",,,,
"6",,"46","0.123739000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"58825",,,,
"6",,"47","0.126306000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"60193",,,,
"6",,"48","0.126334000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"61561",,,,
"6",,"49","0.128797000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"62929",,,,
"6",,"50","0.128827000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"64297",,,,
"6",,"51","0.131250000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"65665",,,,
"6",,"52","0.131279000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"67033",,,,
"6",,"53","0.131279000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"67033",,,,
"6",,"54","0.133712000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"68401",,,,
"6",,"55","0.133742000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"69769",,,,
"6",,"56","0.136199000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"71137",,,,
"6",,"57","0.136233000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"72505",,,,
"6",,"58","0.138591000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"73873",,,,
"6",,"59","0.138620000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"75241",,,,
"6",,"60","0.140762000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"76609",,,,
"6",,"61","0.140783000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"77977",,,,
"6",,"62","0.143195000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"79345",,,,
"6",,"63","0.143225000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"80713",,,,
"6",,"64","0.143225000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"80713",,,,
"6",,"65","0.145493000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"82081",,,,
"6",,"66","0.145518000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"83449",,,,
"6",,"67","0.147821000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"84817",,,,
"6",,"68","0.147849000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"86185",,,,
"6",,"69","0.150083000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"87553",,,,
"6",,"70","0.150112000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"88921",,,,
"6",,"71","0.150120000","1434","1434","00:d7:8f:6b:95:52","00:e1:00:00:0b:6d","130.225.254.116","143.93.190.252",,,"80","59527",,,"90289",,,,
