10.0.78.194,10.4.129.148,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=81.69%, eSim(10)=100.00%
10.0.35.40,10.3.74.18,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=99.90%, eSim(10)=100.00%
10.0.0.19,10.0.0.20,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=97.05%, eSim(10)=100.00%
10.0.0.19,10.0.0.20,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=97.15%, eSim(10)=100.00%
10.1.172.224,10.4.35.202,,,, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%, eSim(0.0001)=96.90%, eSim(10)=100.00%
10.1.172.224,10.4.35.202,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=99.20%, eSim(10)=100.00%
10.0.1.164,10.0.25.58,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.75%, eSim(10)=99.95%
10.0.0.8,10.2.171.72,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=70.09%, eSim(10)=100.00%
10.0.6.136,10.1.211.184,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=89.64%, eSim(10)=100.00%
10.0.6.136,10.1.211.184,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=93.15%, eSim(10)=100.00%
10.0.6.136,10.1.211.184,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=88.89%, eSim(10)=100.00%
10.3.107.101,10.3.145.45,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=98.65%, eSim(10)=100.00%
10.0.5.13,10.0.5.246,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=96.15%, eSim(10)=100.00%
10.1.92.89,10.2.201.181,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.45%, eSim(10)=100.00%
10.0.13.199,10.0.19.217,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=99.05%, eSim(10)=100.00%
10.0.0.250,10.0.38.197,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=98.05%, eSim(10)=100.00%
10.0.0.250,10.0.38.197,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=98.05%, eSim(10)=100.00%
10.1.136.243,10.1.210.110,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=99.15%, eSim(10)=100.00%
10.1.238.124,10.4.146.145,,,, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%, eSim(0.0001)=98.80%, eSim(10)=100.00%
10.4.168.99,10.5.78.21,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.2.122,10.0.43.204,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=99.75%, eSim(10)=100.00%
10.1.93.62,10.5.71.142,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.80%, eSim(10)=100.00%
10.0.0.91,10.4.91.172,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=98.70%, eSim(10)=100.00%
10.0.0.91,10.1.212.34,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.0.122,10.2.209.4,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.0.3,10.4.88.37,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.15%, eSim(10)=100.00%
10.0.0.91,10.0.10.235,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.75%, eSim(10)=100.00%
10.0.8.37,10.0.16.61,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=97.70%, eSim(10)=100.00%
10.0.8.37,10.0.16.61,,,, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%, eSim(0.0001)=99.25%, eSim(10)=100.00%
10.0.11.86,10.2.82.23,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=97.10%, eSim(10)=100.00%
10.0.1.47,10.4.44.148,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=99.90%, eSim(10)=100.00%
10.0.2.50,10.5.70.221,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.85%, eSim(10)=100.00%
