10.1.93.62,10.5.71.142,,,1785,2666,,, eSim(0.01)=99.89%, eSim(0.2)=99.89%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.203.22,10.4.88.0,,,1405,6699,,, eSim(0.01)=99.90%, eSim(0.2)=99.90%, eSim(2.5)=99.95%, eSim(>=2.5)=0.05%
10.0.2.50,10.5.70.221,,,1539,6688,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.1.47,10.0.3.74,,,7070,3529,,, eSim(0.01)=62.22%, eSim(0.2)=88.89%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.1.47,10.0.3.74,,,7070,3529,,, eSim(0.01)=62.22%, eSim(0.2)=88.89%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.102,10.0.15.185,,,25,3393,,, eSim(0.01)=94.22%, eSim(0.2)=98.74%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.2.137,10.1.172.216,,,4752,25,,, eSim(0.01)=98.54%, eSim(0.2)=98.81%, eSim(2.5)=99.74%, eSim(>=2.5)=0.26%
10.0.2.137,10.1.172.216,,,4752,25,,, eSim(0.01)=98.00%, eSim(0.2)=98.67%, eSim(2.5)=99.56%, eSim(>=2.5)=0.44%
10.0.97.193,10.2.176.170,,,80,3408,,, eSim(0.01)=75.74%, eSim(0.2)=93.38%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.15.6,10.0.28.185,,,7070,2973,,, eSim(0.01)=20.00%, eSim(0.2)=40.00%, eSim(2.5)=93.33%, eSim(>=2.5)=6.67%
10.0.8.37,10.0.16.61,,,119,19888,,, eSim(0.01)=16.67%, eSim(0.2)=69.05%, eSim(2.5)=97.62%, eSim(>=2.5)=2.38%
10.0.8.37,10.0.16.61,,,119,19888,,, eSim(0.01)=20.00%, eSim(0.2)=80.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.8.37,10.0.16.61,,,119,19888,,, eSim(0.01)=11.54%, eSim(0.2)=73.08%, eSim(2.5)=96.15%, eSim(>=2.5)=3.85%
10.3.78.124,10.4.96.5,,,6699,1242,,, eSim(0.01)=70.27%, eSim(0.2)=72.97%, eSim(2.5)=94.59%, eSim(>=2.5)=5.41%
10.3.78.124,10.4.96.5,,,6699,1242,,, eSim(0.01)=77.42%, eSim(0.2)=82.26%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.39.133,10.2.113.124,,,1109,63226,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
