93.187.162.100,143.93.190.252,,,80,59334,,, eSim(0.01)=99.85%, eSim(0.2)=99.85%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59334,,, eSim(0.01)=99.70%, eSim(0.2)=99.70%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59334,,, eSim(0.01)=99.85%, eSim(0.2)=99.85%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59334,,, eSim(0.01)=99.61%, eSim(0.2)=99.61%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59571,,, eSim(0.01)=98.43%, eSim(0.2)=98.69%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59571,,, eSim(0.01)=98.34%, eSim(0.2)=98.68%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59571,,, eSim(0.01)=98.10%, eSim(0.2)=98.41%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59571,,, eSim(0.01)=98.06%, eSim(0.2)=98.71%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59562,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59562,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59562,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59562,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59317,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59317,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59317,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59345,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59345,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59345,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59345,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59551,,, eSim(0.01)=99.70%, eSim(0.2)=99.70%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59551,,, eSim(0.01)=99.27%, eSim(0.2)=99.27%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59551,,, eSim(0.01)=99.13%, eSim(0.2)=99.13%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59551,,, eSim(0.01)=98.47%, eSim(0.2)=98.77%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59551,,, eSim(0.01)=97.72%, eSim(0.2)=98.48%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59395,,, eSim(0.01)=99.39%, eSim(0.2)=99.39%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59395,,, eSim(0.01)=98.72%, eSim(0.2)=99.04%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59395,,, eSim(0.01)=96.52%, eSim(0.2)=97.83%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59395,,, eSim(0.01)=95.31%, eSim(0.2)=97.92%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59441,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59441,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59441,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59441,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59420,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59420,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59420,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59420,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59436,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59436,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59436,,, no or not enough (<=2) retransmissions existent
128.30.2.26,143.93.190.252,,,80,59436,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
