127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.90%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.85%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.80%, eSim(0.008)=99.80%, eSim(0.01)=99.80%, eSim(0.02)=99.80%, eSim(0.03)=99.85%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.80%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.80%, eSim(0.008)=99.80%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.80%, eSim(0.008)=99.80%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.75%, eSim(0.008)=99.80%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.85%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.90%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.55%, eSim(0.008)=99.60%, eSim(0.01)=99.65%, eSim(0.02)=99.80%, eSim(0.03)=99.90%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.80%, eSim(0.008)=99.80%, eSim(0.01)=99.80%, eSim(0.02)=99.85%, eSim(0.03)=99.90%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.55%, eSim(0.008)=99.60%, eSim(0.01)=99.60%, eSim(0.02)=99.65%, eSim(0.03)=99.75%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.90%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.85%, eSim(0.008)=99.90%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.80%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.70%, eSim(0.008)=99.75%, eSim(0.01)=99.80%, eSim(0.02)=99.80%, eSim(0.03)=99.90%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.247.87,91.121.132.198,,,, eSim(0.005)=96.50%, eSim(0.008)=97.95%, eSim(0.01)=98.35%, eSim(0.02)=99.25%, eSim(0.03)=99.55%, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%
91.121.132.198,143.93.247.87,,,, eSim(0.005)=96.20%, eSim(0.008)=98.00%, eSim(0.01)=98.45%, eSim(0.02)=99.30%, eSim(0.03)=99.55%, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%
143.93.247.87,91.121.132.198,,,, eSim(0.005)=99.60%, eSim(0.008)=99.90%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
91.121.132.198,143.93.247.87,,,, eSim(0.005)=99.65%, eSim(0.008)=99.90%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.85%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.85%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.80%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.75%, eSim(0.008)=99.75%, eSim(0.01)=99.75%, eSim(0.02)=99.75%, eSim(0.03)=99.85%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.50%, eSim(0.008)=99.65%, eSim(0.01)=99.65%, eSim(0.02)=99.80%, eSim(0.03)=99.80%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.85%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.85%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.85%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.85%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
