ip.proto,ipv6.nxt,frame.number,frame.time_relative,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.seq,mqtt.topic,mqtt.msgtype,mqtt.clientid,mqtt.disconnect.reason_code
"6",,"894","279.676063099","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"890453",,,,
"6",,"895","280.085719155","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"891453",,,,
"6",,"896","280.392189111","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"892454",,,,
"6",,"897","280.701234001","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"893454",,,,
"6",,"898","281.006304259","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"894454",,,,
"6",,"899","281.314469494","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"895454",,,,
"6",,"900","281.545337789","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"896455",,,,
"6",,"901","281.927310453","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"897455",,,,
"6",,"902","282.228822444","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"898456",,,,
"6",,"903","282.541080872","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"899457",,,,
"6",,"904","282.847931012","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"900458",,,,
"6",,"905","283.154581249","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"901458",,,,
"6",,"906","283.461890564","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"902459",,,,
"6",,"907","283.768388455","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"903459",,,,
"6",,"908","284.086413719","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"904460",,,,
"6",,"909","284.382414884","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"905460",,,,
"6",,"910","284.678446880","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"906461",,,,
"6",,"911","285.105729662","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"907462",,,,
"6",,"912","285.396897143","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"908462",,,,
"6",,"913","285.714350359","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"909463",,,,
"6",,"914","286.019160470","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"910463",,,,
"6",,"915","286.325445239","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"911463",,,,
"6",,"916","286.632601961","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"912464",,,,
"6",,"917","286.939168573","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"913464",,,,
"6",,"918","287.246883424","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"914465",,,,
"6",,"919","287.553052944","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"915466",,,,
"6",,"920","287.860195662","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"916466",,,,
"6",,"921","288.119267896","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"917466",,,,
"6",,"922","288.474335081","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"918466",,,,
"6",,"923","288.784570942","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"919467",,,,
"6",,"924","289.087619685","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"920468",,,,
"6",,"925","289.396733105","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"921468",,,,
"6",,"926","289.705663642","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"922469",,,,
"6",,"927","290.117960998","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"923470",,,,
"6",,"928","290.427232606","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"924470",,,,
"6",,"929","290.735299142","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"925471",,,,
"6",,"930","291.045934813","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"926471",,,,
"6",,"931","291.352653077","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"927472",,,,
"6",,"932","291.662633154","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"928473",,,,
"6",,"933","291.969956642","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"929473",,,,
"6",,"934","292.278094958","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"930474",,,,
"6",,"935","292.589244042","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"931474",,,,
"6",,"936","292.895168456","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"932474",,,,
"6",,"937","293.203240841","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"933474",,,,
"6",,"938","293.523126380","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"934474",,,,
"6",,"939","293.825311857","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"935475",,,,
"6",,"940","294.144603020","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"936475",,,,
"6",,"941","294.435072194","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"937475",,,,
"6",,"942","294.753098813","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"938476",,,,
"6",,"943","295.051715500","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"939477",,,,
"6",,"944","295.461355035","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"940478",,,,
"6",,"945","295.782960658","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"941478",,,,
"6",,"946","296.077123472","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"942478",,,,
"6",,"947","296.391209395","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"943479",,,,
"6",,"948","296.610805778","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"944479",,,,
"6",,"949","296.999863514","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"945479",,,,
"6",,"950","297.300773058","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"946480",,,,
"6",,"951","297.615013341","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"947481",,,,
"6",,"952","297.922480112","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"948481",,,,
"6",,"953","298.229944066","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"949482",,,,
"6",,"954","298.537441050","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"950483",,,,
"6",,"955","298.844965980","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"951484",,,,
"6",,"956","299.152660649","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"952485",,,,
"6",,"957","299.459894755","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"953485",,,,
"6",,"958","299.767383242","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"954486",,,,
"6",,"959","300.177758508","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"955487",,,,
"6",,"960","300.483852177","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"956488",,,,
"6",,"961","300.791591304","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"957488",,,,
"6",,"962","301.098546569","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"958489",,,,
"6",,"963","301.405987531","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"959490",,,,
"6",,"964","301.712849429","1066","1066","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"960491",,,,
"6",,"965","302.020003456","1067","1067","3c:a0:67:b3:83:ff","00:22:5f:d6:0e:2d","192.168.0.46","192.168.0.206",,,"34948","9999",,,"961491",,,,
